iter	Passed	Remaining
0	0	66
1	1	59
2	1	58
3	2	58
4	3	59
5	3	60
6	4	62
7	5	67
8	6	66
9	7	65
10	7	64
11	8	63
12	9	63
13	10	62
14	10	60
15	11	59
16	11	57
17	12	56
18	13	55
19	13	54
20	14	54
21	14	53
22	15	52
23	16	51
24	17	51
25	17	50
26	18	49
27	18	48
28	19	47
29	20	47
30	21	46
31	21	45
32	22	45
33	22	44
34	23	43
35	24	42
36	24	42
37	25	41
38	26	41
39	27	40
40	28	40
41	28	39
42	29	38
43	29	37
44	30	37
45	31	36
46	31	35
47	32	35
48	32	34
49	33	33
50	34	32
51	34	32
52	35	31
53	36	30
54	36	30
55	37	29
56	38	29
57	39	28
58	39	27
59	40	26
60	40	26
61	41	25
62	42	24
63	42	24
64	43	23
65	44	22
66	44	22
67	45	21
68	46	20
69	46	20
70	47	19
71	47	18
72	48	17
73	49	17
74	49	16
75	50	15
76	50	15
77	51	14
78	52	13
79	53	13
80	53	12
81	54	11
82	54	11
83	55	10
84	55	9
85	56	9
86	56	8
87	57	7
88	58	7
89	58	6
90	59	5
91	60	5
92	60	4
93	61	3
94	61	3
95	62	2
96	63	1
97	63	1
98	64	0
99	65	0
