iter	Passed	Remaining
0	134	134539
1	135	67499
2	135	45130
3	136	34011
4	137	27299
5	137	22809
6	138	19603
7	138	17198
8	139	15327
9	139	13829
10	140	12604
11	140	11584
12	141	10719
13	141	9978
14	142	9336
15	142	8774
16	143	8278
17	143	7843
18	144	7459
19	145	7106
20	145	6785
21	146	6491
22	146	6224
23	147	5979
24	147	5752
25	147	5542
26	148	5347
27	148	5167
28	149	5001
29	149	4844
30	150	4697
31	150	4559
32	151	4436
33	151	4316
34	152	4201
35	152	4092
36	153	3989
37	153	3892
38	154	3799
39	154	3711
40	155	3628
41	155	3549
42	156	3473
43	156	3400
44	156	3331
45	157	3265
46	157	3201
47	158	3141
48	159	3087
49	159	3031
50	160	2979
51	160	2928
52	161	2878
53	161	2830
54	162	2784
55	162	2740
56	163	2697
57	163	2655
58	163	2614
59	164	2575
60	164	2538
61	165	2501
62	165	2466
63	166	2435
64	166	2402
65	167	2369
66	167	2337
67	168	2307
68	168	2277
69	169	2248
70	169	2220
71	170	2192
72	170	2166
73	171	2140
74	171	2114
75	171	2090
76	172	2066
77	172	2043
78	173	2020
79	173	2000
80	174	1984
81	175	1964
82	175	1942
83	176	1922
84	176	1902
85	177	1883
86	177	1864
87	178	1846
88	178	1828
89	179	1810
90	179	1793
91	179	1776
92	180	1759
93	180	1744
94	181	1729
95	182	1714
96	182	1699
97	182	1684
98	183	1669
99	183	1654
100	184	1640
101	184	1626
102	185	1615
103	186	1602
104	186	1589
105	187	1577
106	187	1564
107	188	1553
108	188	1543
109	189	1536
110	190	1525
111	191	1514
112	191	1503
113	192	1495
114	192	1484
115	193	1474
116	193	1463
117	194	1452
118	194	1442
119	195	1431
120	196	1428
121	197	1418
122	197	1408
123	198	1398
124	198	1389
125	199	1380
126	199	1370
127	199	1361
128	200	1353
129	200	1344
130	201	1335
131	201	1327
132	202	1318
133	202	1310
134	203	1303
135	203	1295
136	204	1287
137	204	1280
138	205	1272
139	205	1264
140	206	1256
141	206	1248
142	207	1240
143	207	1233
144	207	1226
145	208	1219
146	208	1212
147	209	1205
148	209	1198
149	210	1191
150	210	1186
151	211	1179
152	211	1173
153	212	1166
154	212	1160
155	213	1153
156	213	1147
157	214	1141
158	214	1135
159	215	1129
160	215	1122
161	215	1117
162	216	1111
163	216	1105
164	217	1101
165	218	1096
166	218	1091
167	219	1086
168	219	1080
169	220	1075
170	220	1070
171	221	1064
172	221	1059
173	222	1054
174	222	1049
175	223	1044
176	223	1039
177	223	1034
178	224	1029
179	224	1024
180	225	1020
181	226	1015
182	226	1011
183	226	1006
184	227	1001
185	227	997
186	228	992
187	228	988
188	229	983
189	229	979
190	230	974
191	230	970
192	231	966
193	231	961
194	232	957
195	232	953
196	233	949
197	233	946
198	234	942
199	234	938
200	235	934
201	235	930
202	235	926
203	236	922
204	236	918
205	237	914
206	237	910
207	238	907
208	238	903
209	239	899
210	239	895
211	240	892
212	240	889
213	241	885
214	241	882
215	242	878
216	242	875
217	243	872
218	243	868
219	243	865
220	244	861
221	244	858
222	245	855
223	245	851
224	246	848
225	246	845
226	247	841
227	247	838
228	248	836
229	248	833
230	249	829
231	249	826
232	250	823
233	250	820
234	251	817
235	251	814
236	252	811
237	252	808
238	252	805
239	253	802
240	253	799
241	254	796
242	254	793
243	255	791
244	256	788
245	256	786
246	257	783
247	257	780
248	257	777
249	258	775
250	258	772
251	259	769
252	259	766
253	260	764
254	260	761
255	261	758
256	261	756
257	262	753
258	262	751
259	263	748
260	263	746
261	264	744
262	264	741
263	265	738
264	265	736
265	265	733
266	266	731
267	266	728
268	267	726
269	267	724
270	268	721
271	268	719
272	269	716
273	269	714
274	270	712
275	270	710
276	271	708
277	271	706
278	272	704
279	272	701
280	273	699
281	273	697
282	274	695
283	274	693
284	275	690
285	275	688
286	276	686
287	276	684
288	277	682
289	278	682
290	279	680
291	279	677
292	280	675
293	280	673
294	281	671
295	281	669
296	281	667
297	282	665
298	282	663
299	283	661
300	283	659
301	284	657
302	284	655
303	285	653
304	286	651
305	286	650
306	287	648
307	287	646
308	288	644
309	288	642
310	289	640
311	289	638
312	289	636
313	290	634
314	290	632
315	291	630
316	291	628
317	292	626
318	292	625
319	293	623
320	293	621
321	294	619
322	294	618
323	295	616
324	295	614
325	296	612
326	296	610
327	297	609
328	297	607
329	298	605
330	298	604
331	299	602
332	299	600
333	300	599
334	301	597
335	301	595
336	302	594
337	302	592
338	303	590
339	303	589
340	303	587
341	304	585
342	304	583
343	305	582
344	305	580
345	306	578
346	306	577
347	307	575
348	307	574
349	308	572
350	308	570
351	309	569
352	309	567
353	310	565
354	310	564
355	311	562
356	311	560
357	311	559
358	312	558
359	312	556
360	313	554
361	313	553
362	314	551
363	314	550
364	315	548
365	316	547
366	316	545
367	316	544
368	317	542
369	317	541
370	318	539
371	318	538
372	319	536
373	319	535
374	320	533
375	320	532
376	321	530
377	321	529
378	321	527
379	322	526
380	323	525
381	323	524
382	324	522
383	324	521
384	325	519
385	326	518
386	326	517
387	327	515
388	327	514
389	327	512
390	328	511
391	328	510
392	329	508
393	329	507
394	330	506
395	331	504
396	331	503
397	332	502
398	332	501
399	333	499
400	333	498
401	334	497
402	334	495
403	335	494
404	335	493
405	336	491
406	336	490
407	337	488
408	337	487
409	338	486
410	338	485
411	339	484
412	339	483
413	340	481
414	340	480
415	341	479
416	342	478
417	342	476
418	343	475
419	343	474
420	344	473
421	344	472
422	345	471
423	346	470
424	346	469
425	347	467
426	347	466
427	348	465
428	348	464
429	349	463
430	349	462
431	350	460
432	351	459
433	351	458
434	352	457
435	353	456
436	353	455
437	355	456
438	356	455
439	356	454
440	357	452
441	357	451
442	358	450
443	359	449
444	359	448
445	361	448
446	362	448
447	362	446
448	363	445
449	363	444
450	364	443
451	364	442
452	365	441
453	366	440
454	367	440
455	368	440
456	370	439
457	371	439
458	372	438
459	373	437
460	373	436
461	374	435
462	374	434
463	375	433
464	376	433
465	377	432
466	377	431
467	378	430
468	379	429
469	380	428
470	380	427
471	380	426
472	381	425
473	382	424
474	382	423
475	384	422
476	384	421
477	385	420
478	386	419
479	386	418
480	387	417
481	387	416
482	388	415
483	388	414
484	389	413
485	390	412
486	390	411
487	392	412
488	393	411
489	394	410
490	394	408
491	395	407
492	395	406
493	395	405
494	396	404
495	397	403
496	397	402
497	399	402
498	400	401
499	400	400
500	401	399
501	401	398
502	402	397
503	402	396
504	403	395
505	403	394
506	404	393
507	405	392
508	406	392
509	407	391
510	407	390
511	408	389
512	408	387
513	409	386
514	409	385
515	410	384
516	411	384
517	411	383
518	412	382
519	413	381
520	414	380
521	414	379
522	415	378
523	415	377
524	416	376
525	416	375
526	417	374
527	417	373
528	418	372
529	419	371
530	420	371
531	421	370
532	421	369
533	422	368
534	422	367
535	423	366
536	423	365
537	424	364
538	425	363
539	425	362
540	426	361
541	427	361
542	428	360
543	428	359
544	429	358
545	429	357
546	430	356
547	430	355
548	431	354
549	431	353
550	432	352
551	433	351
552	434	351
553	435	350
554	435	349
555	436	348
556	436	347
557	437	346
558	437	345
559	438	344
560	438	343
561	439	342
562	440	341
563	440	340
564	442	340
565	443	339
566	443	338
567	444	337
568	444	336
569	444	335
570	445	334
571	446	333
572	446	332
573	447	331
574	448	331
575	449	330
576	450	329
577	450	328
578	450	327
579	451	326
580	451	325
581	452	324
582	452	323
583	453	323
584	454	322
585	454	321
586	455	320
587	456	319
588	457	319
589	457	318
590	458	317
591	458	316
592	459	315
593	459	314
594	460	313
595	460	312
596	461	311
597	462	310
598	462	309
599	464	309
600	464	308
601	465	307
602	465	306
603	466	305
604	466	304
605	467	303
606	467	302
607	468	301
608	468	301
609	469	300
610	470	299
611	471	298
612	471	297
613	472	296
614	472	295
615	473	295
616	473	294
617	474	293
618	474	292
619	475	291
620	475	290
621	476	289
622	477	288
623	477	287
624	478	287
625	479	286
626	479	285
627	480	284
628	480	283
629	480	282
630	481	281
631	481	280
632	482	279
633	482	278
634	483	277
635	483	276
636	484	276
637	484	275
638	485	274
639	486	273
640	486	272
641	486	271
642	487	270
643	487	269
644	488	268
645	489	268
646	489	267
647	490	266
648	490	265
649	491	264
650	492	263
651	492	263
652	493	262
653	493	261
654	494	260
655	494	259
656	495	258
657	495	257
658	496	256
659	496	255
660	497	254
661	497	254
662	498	253
663	498	252
664	499	251
665	499	250
666	500	249
667	500	248
668	501	248
669	502	247
670	502	246
671	503	245
672	503	244
673	504	244
674	505	243
675	505	242
676	506	241
677	507	240
678	508	240
679	508	239
680	509	238
681	509	237
